1|Abomination|5|4|4|rare|Taunt. Deathrattle: Deal 2 damage to ALL characters.
1|AbusiveSergeant|1|2|1|common|Battlecry: Give a minion +2 Attack until end of turn
1|AcidicSwampOoze|2|3|2|common|Battlecry: Destroy your opponent's weapon.
1|AcolyteofPain|3|1|3|common|Whenever this minion takes damage, draw a card.
1|AlarmOBot|3|0|3|rare|At the start of your turn, swap this minion with a random one in your hand.
1|Alextraza|9|8|8|legendary|Battlecry: Set a hero's remaining Health to 15.
1|AmaniBerserker|2|2|3|common|Enrage: +3 Attack.
1|AncientBrewmaster|4|5|4|common|Battlecry: Return a friendly minion from the battlefield to your hand.
1|AncientMage|4|2|5|rare|Battlecry: Give adjacent minions Spell Power +1.
1|AncientWatcher|2|4|5|rare|Can't Attack.
1|AngryChicken|1|1|1|rare|Enrage: +5 Attack.
1|ArcaneGolem|3|4|2|rare|Charge. Battlecry: Give your opponent a Mana Crystal.
1|Archmage|6|4|7|common|Spell Power +1
1|ArgentCommander|6|4|2|rare|Charge. Divine Shield
1|ArgentSquire|1|1|1|common|Divine Shield
1|AzureDrake|5|4|4|rare|Spell Power +1. Battlecry: Draw a card.
1|BaineBloodhoof|4|4|5|legendary|
2|Bananas|1|0|0|common|Give a minion +1/+1.
1|BaronGeddon|7|7|5|legendary|At the end of your turn, deal 2 damage to ALL other characters
1|Barrel|0|0|2|common|Is something in this barrel?
2|BarrelToss|1|0|0|common|Deal 2 damage
1|BigGameHunter|3|4|2|epic|Battlecry: Destroy a minion with an Attack of 7 or more.
1|BloodKnight|3|3|3|epic|Battlecry: All minions lose Divine Shield. Gain +3/+3 for each Shield lost.
1|BloodfenRaptor|2|3|2|basic|
1|BloodmageThalnos|2|1|1|legendary|Spell Power +1/ Deathrattle: Draw a card.
1|BloodsailCorsair|1|1|2|rare|Battlecry: Remove 1 Durability from your opponent's weapon.
1|BloodsailRaider|2|2|3|common|Battlecry: Gain Attack equal to the Attack of your weapon.
1|BluegillWarrior|2|2|1|common|Charge.
1|Boar|1|1|1|common|
1|BootyBayBodyguard|5|5|4|common|Taunt
1|BoulderfistOgre|6|6|7|basic|
1|Brewmaster|4|4|4|common|
1|CairneBloodhoof|6|4|5|legendary|Deathrattle: Summon a 4/5 Baine Bloodhoof.
1|CaptainGreenskin|5|5|4|legendary|Give your weapon +1/+1
1|CaptainsParrot|2|1|1|epic|Battlecry: Put a random Pirate from your deck into your hand.
1|Chicken|0|1|1|basic|Hey Chicken!
1|ChillwindYeti|4|4|5|common|
1|ColdlightOracle|3|2|2|rare|Battlecry: Each player draws 2 cards.
1|ColdlightSeer|3|2|3|rare|Battlecry: Give ALL other Murlocs +2 Health.
1|CoreHound|7|9|5|common|
1|CrazedAlchemist|2|2|2|rare|Battlecry: Swap the Attack and Health of a minion.
1|CrazedHunter|1|1|1|common|
1|CrazyMonkey|1|1|2|common|Battlecry: Throw Bananas.
1|CultMaster|4|4|2|common|When one of your other minions dies, draw a card.
1|DalaranMage|3|1|4|common|Spell Power +1
1|DamagedGolem|1|2|1|common|
1|DarkIronDwarf|4|4|4|common|Battlecry: Give a minion +2 Attack until end of turn
1|DarkscaleHealer|5|4|5|common|Battlecry: Restore 2 Health to all friendly characters.
1|Deathwing|10|12|12|legendary|Battlecry: Destroy all other minions and discard your hand.
1|DefenderofArgus|4|2|3|rare|Battlecry: Give adjacent minions +1/+1 and Taunt.
1|Demolisher|3|1|4|rare|At the start of your turn, deal 2 damage to a random enemy.
1|Devilsaur|5|5|5|common|
1|DireWolfAlpha|2|2|2|common|Adjacent minions have +1 Attack.
1|Doomsayer|2|0|7|epic|At the start of your turn, destroy ALL minions.
1|DragonlingMechanic|4|2|4|common|Battlecry: Summon a 2/1 Mechanical Dragonling.
1|DreadCorsair|4|3|3|common|Taunt. Costs (1) less per Attack of your weapon.
2|Dream|0|0|0|basic|Return a minion to its owner's hand.
3|DualWarglaives|6|4|2|common|
1|EarthenRingFarseer|3|3|3|common|Battlecry: Restore 3 Health.
1|EliteTaurenChieftain|5|5|5|legendary|Battlecry: Give both players the power to ROCK! (with a Power Chord card)
1|ElvenArcher|1|1|1|common|Battlecry: Deal 1 damage.
1|Emboldener3000|1|0|4|common|At the end of your turn, give a random minion +1/+1.
1|EmeraldDrake|4|7|6|basic|
1|EmperorCobra|3|2|3|rare|Destroy any minion damaged by this minion.
1|FacelessManipulator|5|3|3|epic|Battlecry: Choose a minion and become a copy of it.
1|FaerieDragon|2|3|2|common|Can't be targeted by Spells or Hero Powers.
1|FenCreeper|5|3|6|common|Taunt
1|FinkleEinhorn|2|3|3|legendary|
2|FlameBurst|3|0|0|common|Shoot 5 missiles at random enemies for 1 damage each.
1|FlameofAzzinoth|1|2|1|common|
1|FlesheatingGhoul|3|2|3|common|Whenever a minion dies, gain +1 Attack.
1|Frog|0|0|1|common|Taunt
1|FrostElemental|6|5|5|common|Battlecry: Freeze a character.
1|FrostwolfGrunt|2|2|2|common|Taunt
1|FrostwolfWarlord|5|4|4|common|Battlecry: Has +1/+1 for each other friendly minion on the battlefield.
1|GadgetzanAuctioneer|5|4|4|rare|When you cast a spell, draw a card.
1|GelbinMekkatorque|6|6|6|legendary|Battlecry: Summon an AWESOME invention.
1|Gnoll|2|2|2|common|
1|GnomishInventor|4|2|4|common|Battlecry: Draw a card.
1|GoldshireFootman|1|1|2|common|Taunt
1|GrimscaleOracle|1|1|1|common|ALL other Murlocs have +1 Attack.
1|Gruul|8|7|7|legendary|At the end of each turn, gain +1/+1 .
1|GurubashiBerserker|5|2|7|common|Whenever this minion takes damage, gain +3 Attack.
1|HarrisonJones|5|5|4|legendary|Battlecry: Destroy your opponent's weapon and draw cards equal to its Durability.
1|HarvestGolem|3|2|3|common|Deathrattle: Summon a 2/1 Damaged Golem
1|HiddenGnome|2|1|3|common|Was hiding in a barrel!
1|Hogger|6|4|4|legendary|At the end of your turn, summon a 2/2 Gnoll with Taunt.
2|HoggerSMASH!|3|0|0|common|Deal 4 damage.
1|HomingChiken|1|0|1|common|At the start of your turn, destroy this minion and draw 3 cards.
1|HungryCrab|1|1|2|epic|Battlecry: Destroy a Murloc and gain +2/+2.
